"id","createdAt","processingDuration"
"121047","2023-07-31 07:58:06.143541","181.294762"
"121048","2023-07-31 07:58:07.142745","169.68868"
"121049","2023-07-31 07:58:08.148133","167.70962"
"121050","2023-07-31 07:58:09.146601","103.26605"
"121051","2023-07-31 07:58:10.146018","170.22665"
"121052","2023-07-31 07:58:11.142137","236.6768"
"121053","2023-07-31 07:58:12.149402","29.643788"
"121054","2023-07-31 07:58:13.145767","177.120044"
"121055","2023-07-31 07:58:14.148133","165.314936"
"121056","2023-07-31 07:58:15.150379","91.911707"
"121057","2023-07-31 07:58:16.139112","21.256117"
"121058","2023-07-31 07:58:17.139139","225.078906"
"121059","2023-07-31 07:58:18.13267","25.075134"
"121060","2023-07-31 07:58:19.145802","86.192827"
"121061","2023-07-31 07:58:20.134211","171.69871"
"121062","2023-07-31 07:58:21.153454","156.068441"
"121063","2023-07-31 07:58:22.154197","136.514628"
"121064","2023-07-31 07:58:23.147282","23.380081"
"121065","2023-07-31 07:58:24.153135","94.280678"
"121066","2023-07-31 07:58:25.155573","180.9917"
"121067","2023-07-31 07:58:26.152367","146.840501"
"121068","2023-07-31 07:58:27.150311","123.17017"
"121069","2023-07-31 07:58:28.147169","92.841593"
"121070","2023-07-31 07:58:29.138385","217.165539"
"121071","2023-07-31 07:58:30.15064","122.865587"
"121072","2023-07-31 07:58:31.152636","217.714128"
"121073","2023-07-31 07:58:32.150787","197.780762"
"121074","2023-07-31 07:58:33.149079","164.496946"
"121075","2023-07-31 07:58:34.158998","69.604068"
"121076","2023-07-31 07:58:35.14818","196.68472"
"121077","2023-07-31 07:58:36.141807","124.268686"
"121078","2023-07-31 07:58:37.155098","166.318327"
"121079","2023-07-31 07:58:38.145372","69.292351"
"121080","2023-07-31 07:58:39.149531","203.48463"
"121081","2023-07-31 07:58:40.153609","166.749482"
"121082","2023-07-31 07:58:41.145876","84.290493"
"121083","2023-07-31 07:58:42.150683","192.652839"
"121084","2023-07-31 07:58:43.137536","137.039319"
"121085","2023-07-31 07:58:44.151771","116.551629"
"121086","2023-07-31 07:58:45.148863","138.855749"
"121087","2023-07-31 07:58:46.138608","114.447788"
"121088","2023-07-31 07:58:47.141514","154.584003"
"121089","2023-07-31 07:58:48.153282","189.092695"
